TIER,Timestamp,Timeframe,Session,POI Type,Event,Previous Candle,Delta total,avg delta,Delta,Delta change (x),Avg OI change,Current OI change,OI change,Liq,MFE (%),MAE (%),RR,MFE to Trigger,Outcome
A,2025-09-15T00:30:00.000Z,30,Asia,,Breakout,50,14.731357013008019,14.731357013008019,429.86600000004,3.007501240498118,151.71919568565693,580.3000000000029,580.3000000000029,11125.695247997559,,,,,
B,2025-09-15T01:05:00.000Z,5,Asia,,Breakdown,50,10.318396515734888,10.318396515734888,-309.68399999998235,4.08561521852185,75.89448140098739,-161.82300000000396,-161.82300000000396,602.1309200199498,,,,,
S,2025-09-15T01:10:00.000Z,5,Asia,,Breakdown,50,-2.230717073116768,-2.230717073116768,-721.5270000000171,8.491490321054846,79.2642272283998,-444.4470000000001,-444.4470000000001,33469.927230294226,,,,,
S,2025-09-15T01:15:00.000Z,15,Asia,,Breakdown,50,19.1644746844676,19.1644746844676,-1074.953999999822,8.578843178328864,127.43046482755351,-535.6750000000029,-535.6750000000029,30140.085572414715,,,,,
B,2025-09-15T01:30:00.000Z,5,Asia,,Breakout,50,-21.775481396905377,-21.775481396905377,339.5479999999486,3.2066607892232746,87.85031302906002,170.46399999999267,170.46399999999267,204.5100015475806,,,,,
B,2025-09-15T01:30:00.000Z,15,Asia,,Breakout,50,-23.7421321658967,-23.7421321658967,516.9899999999623,3.1806132139204975,143.44005444215935,230.45200000000477,230.45200000000477,4577.418223832098,,,,,
B,2025-09-15T01:30:00.000Z,30,Asia,,Breakdown,50,30.739847054300395,30.739847054300395,-557.9639999996377,3.7426643985607018,164.62615718618338,-305.22299999999814,-305.22299999999814,20807.231620455197,,,,,
B,2025-09-15T04:20:00.000Z,5,Asia,,Breakout,50,3.958980987646542,3.958980987646542,178.8800000000001,3.9286199433079503,37.02715353205772,-119.00700000001234,-119.00700000001234,2009.1582634201332,,,,,
A,2025-09-15T04:25:00.000Z,5,Asia,,Breakout,50,10.818628792052564,10.818628792052564,129.29199999999207,2.547031330783488,40.24204947197751,-382.32399999999325,-382.32399999999325,99541.09903049942,,,,,
B,2025-09-15T04:30:00.000Z,15,Asia,,Breakout,50,10.309537194358672,10.309537194358672,204.2619999999148,1.586801776491192,109.52500928062362,-434.5,-434.5,77196.45850669181,,,,,
S,2025-09-15T05:25:00.000Z,5,Asia,,Breakout,50,7.283628044095643,7.283628044095643,363.26099999998814,7.507198711082744,52.7056711006926,242.0789999999979,242.0789999999979,25930.481065914326,,,,,
B,2025-09-15T05:30:00.000Z,15,Asia,,Breakout,50,14.844224596365732,14.844224596365732,232.5079999999997,1.880526891230273,120.40799911871676,258.73799999999756,258.73799999999756,15870.55781908573,,,,,
B,2025-09-15T05:30:00.000Z,30,Asia,,Breakout,50,22.51574073620644,22.51574073620644,306.45699999984583,2.014774767705954,159.96867506131363,355.94899999999325,355.94899999999325,17258.997015149667,,,,,
A,2025-09-15T06:10:00.000Z,5,Asia,,Breakout,50,9.095129985969411,9.095129985969411,599.9009999999905,9.361142763622784,61.97066793166405,171.00100000000384,171.00100000000384,46140.24271230033,,,,,
B,2025-09-15T06:40:00.000Z,5,Asia,,Breakdown,50,4.371080980751092,4.371080980751092,-276.0069999999593,3.138402443044683,65.7525131334756,-201.8020000000106,-201.8020000000106,44.65574510318203,,,,,
B,2025-09-15T06:45:00.000Z,15,Asia,,Breakdown,50,23.836797121951335,23.836797121951335,-412.1600000000143,2.9750377955119998,129.0520383681286,-264.1039999999921,-264.1039999999921,59.4147313262158,,,,,
B,2025-09-15T07:00:00.000Z,5,London,,Breakdown,50,-30.230984248815062,-30.230984248815062,-211.3569999999936,1.9085269697457203,79.01662190145896,-178.9079999999958,-178.9079999999958,1229.108849066578,,,,,
A,2025-09-15T07:35:00.000Z,5,London,,Breakdown,50,-31.350359181590214,-31.350359181590214,-459.2929999999799,4.543496512245861,83.1086279014348,-277.221000000005,-277.221000000005,26832.475687512295,,,,,
S,2025-09-15T07:45:00.000Z,5,London,,Breakdown,50,-50.007034369471725,-50.007034369471725,-740.4229999998511,6.4732300674591965,90.71421591362731,-369.55599999999686,-369.55599999999686,4124.099287042973,,,,,
S,2025-09-15T07:45:00.000Z,15,London,,Breakdown,50,-27.29174373364237,-27.29174373364237,-1295.6509999999334,7.578276087588217,127.06443883346897,-737.3279999999941,-737.3279999999941,10254.26449819234,,,,,
B,2025-09-15T08:00:00.000Z,15,London,,Breakout,50,-77.03132241075183,-77.03132241075183,364.8989999999946,1.6966185902316537,150.99634319294054,305.23199999998906,305.23199999998906,0,,,,,
A,2025-09-15T08:00:00.000Z,30,London,,Breakdown,50,-19.825634321453983,-19.825634321453983,-930.7520000009702,4.853498150775966,166.36038186198272,-432.096000000005,-432.096000000005,7675.239945499887,,,,,
B,2025-09-15T08:45:00.000Z,5,London,,Breakdown,50,-39.69186219622513,-39.69186219622513,-279.5809999999592,2.132942349867736,89.2044360369292,-301.4170000000013,-301.4170000000013,1240.5338316971468,,,,,
B,2025-09-15T08:45:00.000Z,15,London,,Breakdown,50,-54.10961876128127,-54.10961876128127,-415.32299999996985,1.9952139368144761,150.5534554304617,-459.92200000000594,-459.92200000000594,2826.207373027227,,,,,
